material_id,formula_pretty,nsites,composition,density,energy_per_atom,formation_energy_per_atom,energy_above_hull,band_gap,efermi,is_gap_direct,is_metal,cbm,vbm,is_magnetic,total_magnetization,total_magnetization_normalized_formula_units,num_unique_magnetic_sites
mp-7206,TcAgO4,12,Tc2 Ag2 O8,5.565161109707231,-7.025207254999999,-1.523102002777776,0.0,1.6034000000000002,0.49529364,False,False,2.0529,0.4495,False,0.0,0.0,0.0
mp-862379,Sc2TcAg,4,Sc2 Tc1 Ag1,6.805264873449335,-6.708056939999999,-0.2409282316666647,0.0143707953125016,0.0,4.80449365,False,True,,,False,4.2e-06,4.2e-06,0.0
mp-865214,Lu2TcAg,4,Lu2 Tc1 Ag1,11.247891359107737,-31.09423236145834,-0.2241574710416713,0.0235731881249989,0.0,3.91651756,False,True,,,False,0.0001729,0.0001729,0.0
mp-1208337,TcAgO2,16,Tc4 Ag4 O8,7.245028526040164,-6.396900669375,-0.6198746522916654,0.7904975133333343,0.0,3.91593911,False,True,3.8907,3.9231,True,7.8991667,1.974791675,1.0
mp-981749,TcAg3,4,Tc1 Ag3,9.954897122786814,-21.9136583175,0.5944150537500015,0.5944150537500015,0.0,3.90635016,False,True,,,True,2.4840545,2.4840545,1.0
mp-1187589,Tm2TcAg,4,Tm2 Tc1 Ag1,10.78335959344135,-29.58506172145833,-0.1944027777083334,0.0860708410416677,0.0,3.9373196,False,True,,,False,0.0001092,0.0001092,0.0
mp-1184130,Er2TcAg,4,Er2 Tc1 Ag1,10.592944635483825,-5.7462056875,-0.1614521266666653,0.0941347128125009,0.0,3.98952661,False,True,,,False,1.47e-05,1.47e-05,0.0
mp-1186235,Nd2AgRu,4,Nd2 Ag1 Ru1,8.680449399321306,-26.624466348281253,-0.220358747031252,0.0235192668749988,0.0,4.20572433,False,True,,,False,0.0072447,0.0072447,0.0
mp-776168,AgRuO3,20,Ag4 Ru4 O12,6.427025653696133,-6.386093229,-0.9912669518333324,0.0577772630000001,0.0,2.42685244,False,True,,,True,0.4287024,0.1071756,1.0
mp-867869,Sm2AgRu,4,Sm2 Ag1 Ru1,9.381362144198777,-26.8432952625,-0.2817299925000007,0.0,0.0,4.00429427,False,True,,,False,2.73e-05,2.73e-05,0.0
mp-865459,Lu2AgRu,4,Lu2 Ag1 Ru1,11.755280287640632,-5.7276602325,-0.4374814512499991,0.0,0.0,3.99991197,False,True,,,False,8.6e-06,8.6e-06,0.0
mp-17588,AgRuF7,36,Ag4 Ru4 F28,4.477265124283537,-9.344929888055557,-1.7175971949999993,0.0,0.0,-2.28412143,False,True,-2.4205,-2.1885,True,12.6707363,3.167684075,1.0
mp-865282,Tm2AgRu,4,Tm2 Ag1 Ru1,11.209977642276588,-5.679419857500001,-0.4088340629166707,0.0,0.0,4.00269122,False,True,,,False,3e-07,3e-07,0.0
mp-862991,Pm2AgRu,4,Pm2 Ag1 Ru1,9.048124287084685,-26.725148555,-0.2597392137499987,0.0,0.0,4.08676635,False,True,,,False,1e-07,1e-07,0.0
mp-510453,Ag3RuO4,32,Ag12 Ru4 O16,7.231418859075018,-5.409151174374999,-0.7076173662499983,0.0658601250000021,0.0,2.41819673,False,True,,,True,11.6720432,2.9180108,1.0
mp-1184415,Gd2AgRu,4,Gd2 Ag1 Ru1,9.887488412616934,-33.6622213375,-0.2686155775000003,0.0,0.0,3.9240163,False,True,,,True,14.4257652,14.4257652,2.0
mp-1184631,Ho2AgRu,4,Ho2 Ag1 Ru1,10.752211278139926,-5.696317954999998,-0.3681431679166609,0.0,0.0,4.02264418,False,True,,,False,5.3e-06,5.3e-06,0.0
